key,designer,season,year,category,city,section,width,height,size,aesthetic,tags,url,filename,shard
0008124,Christian Lacroix,Spring,1988,Couture,,Collection,1971,3000,830438,5.43,"['Evening Dress' 'Macy Gray' 'Clothing' 'Apparel' 'Fashion' 'Person'
 'Human' 'Stage' 'Gown' 'Robe']",https://assets.vogue.com/photos/5e2237139e96560008395c64/041-christian-lacroix-spring-1988-couture-CN10053761.jpg,0008124_Christian Lacroix - Spring 1988 Couture [Collection].jpg,0
0326271,Alaïa,Fall,1989,Ready-to-Wear,,Collection,1969,2911,602681,5.85,"['Long Sleeve' 'Clothing' 'Footwear' 'Overcoat' 'Apparel' 'Person'
 'Sleeve' 'Human' 'Coat' 'Shoe']",https://assets.vogue.com/photos/5aefab61f819502851f7179a/azzedine-alaia-fall-1989-ready-to-wear-47-janice-dickinson-CN10047373.jpg,0326271_Alaïa - Fall 1989 Ready-to-Wear [Collection].jpg,32
0001898,Alaïa,Fall,1989,Ready-to-Wear,,Collection,1969,2933,774469,5.78,"['Long Sleeve' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Sleeve'
 'Human']",https://assets.vogue.com/photos/5aefab76ff742b06767b6ec3/azzedine-alaia-fall-1989-ready-to-wear-55-farida-khelfa-CN10047381.jpg,0001898_Alaïa - Fall 1989 Ready-to-Wear [Collection].jpg,0
0000370,Alaïa,Fall,1991,Ready-to-Wear,,Collection,1964,3000,1152835,5.45,"['Clothing' 'Footwear' 'Apparel' 'Fashion' 'Female' 'Person' 'Dress'
 'Human' 'Shoe']",https://assets.vogue.com/photos/55d5e300e41418c56ee3b2a8/AZZEDINE-ALAIA-FALL-1991-RTW-99-NADEGE-DU-BOSPERTUS.jpg,0000370_Alaïa - Fall 1991 Ready-to-Wear [Collection].jpg,0
0325823,Versace,Fall,1991,Ready-to-Wear,,Collection,1991,3000,798054,4.85,"['Leisure Activities' 'Clothing' 'Apparel' 'Female' 'Person' 'Dress'
 'Human']",https://assets.vogue.com/photos/55d7a735a29b3c331d148d90/VERSACE-FALL-1991-RTW-89.jpg,0325823_Versace - Fall 1991 Ready-to-Wear [Collection].jpg,32
0644126,Versace,Spring,1991,Ready-to-Wear,,Collection,1997,3000,618682,5.8,['Fashion' 'Person' 'Runway' 'Human' 'Stage'],https://assets.vogue.com/photos/5cc09e7bef7f302f1e8da417/089-versace-spring-1991-ready-to-wear-CN10052234-helena-christensen.jpg,0644126_Versace - Spring 1991 Ready-to-Wear [Collection].jpg,64
0323558,Dolce & Gabbana,Spring,1992,Ready-to-Wear,,Collection,1328,2000,613854,5.26,['Clothing' 'Overcoat' 'Apparel' 'Jacket' 'Person' 'Human' 'Coat'],https://assets.vogue.com/photos/5f6be4f6bc227d002627d8a1/006-dolce-gabbana-spring-1993-ready-to-wear-CN10048989.jpg,0323558_Dolce & Gabbana - Spring 1992 Ready-to-Wear [Collection].jpg,32
0968970,Prada,Spring,1992,Ready-to-Wear,,Collection,1928,2892,305769,4.44,"['Clothing' 'Footwear' 'Overcoat' 'Apparel' 'Female' 'Person' 'Dress'
 'Human' 'Woman' 'Coat' 'Shoe' 'Suit']",https://assets.vogue.com/photos/57618ed6e1b0d317035bf20e/PRADA-SPRING-1994-RTW-74.jpg,0968970_Prada - Spring 1992 Ready-to-Wear [Collection].jpg,96
0969313,Comme des Garçons,Spring,1992,Ready-to-Wear,,Collection,1985,3003,586923,5.29,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human' 'Hat'],https://assets.vogue.com/photos/58dc39201951f811b7ae2b89/COMME-DES-GARCONS-SPRING-1992-RTW-87-NADJA-AUERMANN-CN10044295.jpg,0969313_Comme des Garçons - Spring 1992 Ready-to-Wear [Collection].jpg,96
0968920,Versace,Spring,1992,Ready-to-Wear,,Collection,2007,2992,494289,5.14,['Person' 'Human'],https://assets.vogue.com/photos/5a281ac2b8ccd50883af37ee/VERSACE-SPRING-1993-RTW-76-NAOMI-CAMPBELL-CN10046415.jpg,0968920_Versace - Spring 1992 Ready-to-Wear [Collection].jpg,96
